FECHA ,CIUDADELA ,ALTO_OBRAJES ,SEGUENCOMA ,BOLOGNIA ,RIO_SECO ,total
2016-11-01 ,2389 ,11149 ,5129 ,5850 ,4972 ,29489
2016-11-02 ,2330 ,6805 ,4980 ,4526 ,3371 ,22012
2016-11-03 ,3534 ,12879 ,5826 ,6411 ,5585 ,34235
2016-11-04 ,2791 ,12916 ,5964 ,6196 ,5007 ,32874
2016-11-05 ,2454 ,8753 ,4430 ,4599 ,3809 ,24045
2016-11-06 ,2154 ,7262 ,3773 ,4058 ,3594 ,20841
2016-11-07 ,2913 ,12165 ,5853 ,6023 ,4694 ,31648
2016-11-08 ,2853 ,12569 ,5460 ,5865 ,4690 ,31437
2016-11-09 ,2907 ,12207 ,5594 ,6295 ,4730 ,31733
2016-11-10 ,2913 ,12247 ,5678 ,5876 ,4768 ,31482
2016-11-11 ,2832 ,12179 ,5888 ,6187 ,4602 ,31688
2016-11-12 ,2490 ,8169 ,4822 ,4731 ,4606 ,24818
2016-11-13 ,2316 ,7120 ,4002 ,3814 ,3450 ,20702
2016-11-14 ,3141 ,11931 ,5803 ,5943 ,4846 ,31664
2016-11-15 ,2690 ,11160 ,5725 ,5835 ,4845 ,30255
2016-11-16 ,2852 ,11982 ,5350 ,6117 ,5103 ,31404
2016-11-17 ,2693 ,11851 ,5682 ,5946 ,5226 ,31398
2016-11-18 ,2833 ,11794 ,5568 ,5811 ,4696 ,30702
2016-11-19 ,2083 ,8266 ,4687 ,4257 ,4754 ,24047
2016-11-20 ,2212 ,7019 ,4361 ,3817 ,3429 ,20838
2016-11-21 ,2885 ,11059 ,5601 ,5579 ,4689 ,29813
2016-11-22 ,2671 ,11589 ,5518 ,4009 ,4428 ,28215
2016-11-23 ,2965 ,11673 ,5747 ,5634 ,4413 ,30432
2016-11-24 ,2575 ,11268 ,5803 ,5564 ,4729 ,29939
2016-11-25 ,2657 ,11491 ,5880 ,5556 ,4627 ,30211
2016-11-26 ,1933 ,7433 ,4465 ,4047 ,3589 ,21467
2016-11-27 ,2028 ,5803 ,3488 ,3416 ,2549 ,17284
2016-11-28 ,2537 ,11477 ,5420 ,5497 ,4398 ,29329
2016-11-29 ,2757 ,11330 ,5407 ,5358 ,4619 ,29471
2016-11-30 ,2605 ,11430 ,4924 ,5259 ,4300 ,28518
2016-12-01 ,2227 ,11370 ,4843 ,4900 ,4280 ,27620
2016-12-02 ,2249 ,11404 ,4836 ,5355 ,4298 ,28142
2016-12-03 ,1868 ,8004 ,3946 ,4016 ,3672 ,21506
2016-12-04 ,1991 ,6574 ,3646 ,3330 ,3279 ,18820
2016-12-05 ,1977 ,10944 ,5052 ,5314 ,4251 ,27538
2016-12-06 ,2116 ,11116 ,4862 ,5214 ,4011 ,27319
2016-12-07 ,2320 ,11211 ,5372 ,5607 ,4218 ,28728
2016-12-08 ,2099 ,10881 ,4681 ,4995 ,3756 ,26412
2016-12-09 ,2104 ,11489 ,5001 ,4975 ,4269 ,27838
2016-12-10 ,3069 ,8981 ,5532 ,5172 ,4588 ,27342
2016-12-11 ,2253 ,7238 ,4160 ,3651 ,3719 ,21021
2016-12-12 ,2245 ,11116 ,4895 ,5191 ,4110 ,27557
2016-12-13 ,1972 ,10846 ,4826 ,4981 ,3956 ,26581
2016-12-14 ,2319 ,10755 ,4568 ,5117 ,4050 ,26809
2016-12-15 ,2135 ,11205 ,4686 ,4937 ,4062 ,27025
2016-12-16 ,2259 ,11300 ,4686 ,4787 ,3891 ,26923
2016-12-17 ,2151 ,8034 ,4386 ,3883 ,3744 ,22198
2016-12-18 ,2385 ,8016 ,4530 ,4051 ,3863 ,22845
2016-12-19 ,2074 ,10442 ,4713 ,4811 ,3921 ,25961
2016-12-20 ,2057 ,10287 ,4635 ,4997 ,3849 ,25825
2016-12-21 ,2192 ,10481 ,4818 ,5123 ,3944 ,26558
2016-12-22 ,1954 ,10593 ,4892 ,5097 ,4009 ,26545
2016-12-23 ,3432 ,10538 ,5112 ,5301 ,4603 ,28986
2016-12-24 ,2111 ,7200 ,4438 ,3808 ,4084 ,21641
2016-12-25 ,2635 ,7733 ,4473 ,3759 ,3591 ,22191
2016-12-26 ,2314 ,6680 ,3777 ,3464 ,2894 ,19129
2016-12-27 ,1885 ,9175 ,3985 ,4283 ,3092 ,22420
2016-12-28 ,2283 ,9090 ,3826 ,4479 ,3246 ,22924
2016-12-29 ,1947 ,9160 ,3969 ,4312 ,3002 ,22390
2016-12-30 ,1758 ,9125 ,3932 ,4030 ,2882 ,21727
2016-12-31 ,1479 ,5096 ,3310 ,2485 ,2375 ,14745
2017-01-01 ,2294 ,6756 ,3658 ,3184 ,3115 ,19007
2017-01-02 ,2321 ,7357 ,3686 ,3706 ,3189 ,20259
2017-01-03 ,1943 ,9149 ,4115 ,4530 ,3107 ,22844
2017-01-04 ,1952 ,8999 ,4135 ,4328 ,3174 ,22588
2017-01-05 ,1843 ,9523 ,4011 ,4469 ,3246 ,23092
2017-01-06 ,1484 ,9504 ,4469 ,4497 ,3614 ,23568
2017-01-07 ,2764 ,5709 ,3205 ,4418 ,1862 ,17958
2017-01-08 ,1860 ,5734 ,2883 ,4084 ,2308 ,16869
2017-01-09 ,2063 ,9021 ,4300 ,5189 ,3176 ,23749
2017-01-10 ,1941 ,9716 ,4328 ,5023 ,3230 ,24238
2017-01-11 ,2244 ,9340 ,4569 ,5224 ,3447 ,24824
2017-01-12 ,1938 ,9647 ,4463 ,4939 ,3288 ,24275
2017-01-13 ,2139 ,10018 ,4254 ,4568 ,3284 ,24263
2017-01-14 ,1899 ,7024 ,3669 ,3443 ,2728 ,18763
2017-01-15 ,2057 ,6579 ,3938 ,3477 ,2938 ,18989
2017-01-16 ,2115 ,10112 ,4808 ,5298 ,3827 ,26160
2017-01-17 ,1918 ,10295 ,4647 ,5492 ,3460 ,25812
2017-01-18 ,2001 ,10189 ,4729 ,5154 ,3372 ,25445
2017-01-19 ,2020 ,10129 ,4443 ,5181 ,3474 ,25247
2017-01-20 ,2150 ,10541 ,4813 ,5170 ,3844 ,26518
2017-01-21 ,1862 ,7077 ,3925 ,3767 ,3055 ,19686
2017-01-22 ,2105 ,7199 ,3779 ,3878 ,3143 ,20104
2017-01-23 ,1607 ,5857 ,3408 ,3272 ,2520 ,16664
2017-01-24 ,2416 ,9061 ,5093 ,5145 ,4046 ,25761
2017-01-25 ,2122 ,10072 ,4522 ,5213 ,3788 ,25717
2017-01-26 ,1830 ,10689 ,4635 ,5622 ,4033 ,26809
2017-01-27 ,1890 ,11213 ,5030 ,5827 ,3921 ,27881
2017-01-28 ,1830 ,8212 ,4472 ,4672 ,3746 ,22932
2017-01-29 ,2238 ,8065 ,4604 ,4789 ,3887 ,23583
2017-01-30 ,2080 ,11007 ,4945 ,5437 ,3795 ,27264
2017-01-31 ,1977 ,10931 ,4783 ,5527 ,3719 ,26937
2017-02-01 ,2079 ,10775 ,4778 ,5678 ,3881 ,27191
2017-02-02 ,2193 ,10850 ,4818 ,5408 ,3933 ,27202
2017-02-03 ,2164 ,11801 ,4883 ,5478 ,4246 ,28572
2017-02-04 ,1809 ,8120 ,4391 ,4770 ,3757 ,22847
2017-02-05 ,2008 ,7003 ,3944 ,4134 ,3537 ,20626
2017-02-06 ,3206 ,11251 ,5452 ,5789 ,4836 ,30534
2017-02-07 ,2873 ,11380 ,5444 ,5786 ,4841 ,30324
2017-02-08 ,2826 ,11372 ,5382 ,5569 ,4876 ,30025
2017-02-09 ,2751 ,11504 ,5357 ,5556 ,5001 ,30169
2017-02-10 ,2805 ,12364 ,5817 ,5883 ,4920 ,31789
2017-02-11 ,1700 ,7933 ,4466 ,4396 ,3568 ,22063
2017-02-12 ,1803 ,6879 ,3849 ,3986 ,3337 ,19854
2017-02-13 ,2910 ,11850 ,5595 ,5498 ,4853 ,30706
2017-02-14 ,2917 ,11838 ,5728 ,5666 ,5059 ,31208
2017-02-15 ,2866 ,12067 ,6394 ,6194 ,4981 ,32502
2017-02-16 ,2649 ,11710 ,5591 ,5597 ,4837 ,30384
2017-02-17 ,3085 ,12231 ,5711 ,5726 ,4874 ,31627
2017-02-18 ,1929 ,8174 ,4524 ,4361 ,3722 ,22710
2017-02-19 ,1753 ,6417 ,4231 ,3934 ,3415 ,19750
2017-02-20 ,3043 ,11840 ,6082 ,5816 ,5178 ,31959
2017-02-21 ,2828 ,10616 ,5693 ,5529 ,4099 ,28765
2017-02-22 ,3016 ,12311 ,6180 ,6010 ,4827 ,32344
2017-02-23 ,2572 ,11668 ,5649 ,5480 ,5052 ,30421
2017-02-24 ,2210 ,10921 ,5272 ,5085 ,4520 ,28008
2017-02-25 ,2712 ,7232 ,5065 ,3615 ,3166 ,21790
2017-02-26 ,2186 ,4752 ,3625 ,2898 ,2659 ,16120
2017-02-27 ,2057 ,4530 ,3370 ,2693 ,3049 ,15699
2017-02-28 ,2110 ,5310 ,3175 ,2857 ,3142 ,16594
2017-03-01 ,3232 ,11801 ,5629 ,5797 ,5264 ,31723
2017-03-02 ,3033 ,11771 ,5784 ,5810 ,4686 ,31084
2017-03-03 ,3111 ,12282 ,5735 ,5962 ,5053 ,32143
2017-03-04 ,1902 ,7886 ,4753 ,4360 ,3855 ,22756
2017-03-05 ,1814 ,6022 ,4126 ,4221 ,2633 ,18816
2017-03-06 ,3075 ,11577 ,5607 ,5654 ,4715 ,30628
2017-03-07 ,2939 ,11361 ,5630 ,5495 ,4858 ,30283
2017-03-08 ,2981 ,11277 ,5751 ,5578 ,4658 ,30245
2017-03-09 ,2695 ,11789 ,5765 ,5597 ,4908 ,30754
2017-03-10 ,2878 ,11906 ,5498 ,5518 ,4577 ,30377
2017-03-11 ,1850 ,7601 ,4343 ,3712 ,3218 ,20724
2017-03-12 ,1960 ,6559 ,3675 ,3226 ,2716 ,18136
2017-03-13 ,3079 ,11552 ,5604 ,5541 ,4716 ,30492
2017-03-14 ,3007 ,11437 ,5523 ,5623 ,4902 ,30492
2017-03-15 ,2883 ,11885 ,5646 ,5886 ,4688 ,30988
2017-03-16 ,2708 ,12203 ,5665 ,5929 ,4656 ,31161
2017-03-17 ,2987 ,12161 ,5785 ,5789 ,4640 ,31362
2017-03-18 ,1891 ,8516 ,4777 ,3903 ,3479 ,22566
2017-03-19 ,2050 ,6720 ,4527 ,3750 ,3353 ,20400
2017-03-20 ,2805 ,11832 ,5621 ,5814 ,4873 ,30945
2017-03-21 ,3262 ,11917 ,6188 ,6158 ,5229 ,32754
2017-03-22 ,3010 ,12117 ,6495 ,6276 ,5286 ,33184
2017-03-23 ,2945 ,11484 ,6299 ,5807 ,5198 ,31733
2017-03-24 ,2635 ,11300 ,5502 ,5483 ,4616 ,29536
2017-03-25 ,1926 ,7863 ,4702 ,4009 ,3542 ,22042
2017-03-26 ,1585 ,5957 ,3553 ,3390 ,2729 ,17214
2017-03-27 ,2740 ,11397 ,5706 ,5698 ,4629 ,30170
2017-03-28 ,2760 ,11371 ,5677 ,5495 ,4890 ,30193
2017-03-29 ,2793 ,11184 ,5773 ,5580 ,4735 ,30065
2017-03-30 ,2765 ,11740 ,5511 ,5344 ,4763 ,30123
2017-03-31 ,2812 ,11644 ,5636 ,5348 ,4636 ,30076
2017-04-01 ,1689 ,6884 ,4258 ,3854 ,3237 ,19922
2017-04-02 ,1712 ,5491 ,3192 ,2990 ,2493 ,15878
2017-04-03 ,2794 ,12124 ,5462 ,5638 ,4803 ,30821
2017-04-04 ,2765 ,11862 ,5547 ,5445 ,4748 ,30367
2017-04-05 ,2884 ,11139 ,5439 ,5459 ,4895 ,29816
2017-04-06 ,2584 ,11975 ,5602 ,5453 ,4847 ,30461
